,a,b,c,d,e,f,g
A1C1,0.01600200135287364,-0.7519027890579861,0.024513257836903692,-0.09278595265571885,-0.0016568050145362953,-0.00048754182209685947,1.0096439525449687
A1C2,-0.27330514128455863,-0.627253723538506,-0.17327888607580463,-0.0972603022196359,-0.004020025003060952,-0.0012381632082587015,1.1287857133401267
A1C3,-0.21719870569058225,-0.6476461904898847,-0.25255649086078624,-0.09053525027030143,-0.007060360393987223,-0.0027124625368854984,1.3088011297943172
A1C4,-0.09384944541364937,-0.5965725623144104,-0.8590405852103616,-0.01311656734496666,-0.004655012283804086,-0.003239310337521055,1.7313421224126004
A2C1,0.6170779286962441,-0.861295635822921,-0.34087647470819643,-0.06407101941985363,-0.0019706583875429935,-0.0011209114366924162,1.0024670431284521
A2C2,-0.22924265349013878,-0.5247628535732543,-0.16940879154197092,-0.08231789217538772,-0.0049723808747560005,-0.001658838653878375,1.1288282935274454
A2C3,-0.2034334629326114,-0.5419411544098516,-0.22320651410689302,-0.06814749033291428,-0.009063271492229635,-0.0023433532662302074,1.2277662496779878
A2C4,-0.14298658685821372,-0.4925484012909605,-0.3655925753130385,-0.032449421136144636,-0.0070429587533358245,-0.0023359823256731017,1.2010947726198309
A3C1,0.13733854448374122,-0.18207774129502577,-1.0989289633419108,-0.03199973032965305,-0.002492432370314429,-0.0017041247323996544,0.9017741724375388
A3C2,-0.11762671991203354,-0.3867457009842194,-0.13218120354364937,-0.024483134097530113,-0.003623461313304512,-0.0023314951549445817,0.9308260019161334
A3C3,-0.11706966138588273,-0.37027938899973567,-0.16126872658168845,-0.013495642521085847,-0.006665651034657076,-0.0022915499715330918,0.906534993940735
A3C4,-0.10347589234766467,-0.3161101234152902,-0.21784666152907192,-0.006969803334126576,-0.005771155673658452,-0.001812583857387762,0.8175344481008695
